sample_0,A
sample_1,A
sample_2,A
sample_3,A
sample_4,A
sample_5,A
sample_6,A
sample_7,A
sample_8,A
sample_9,A
sample_10,A
sample_11,A
sample_12,A
sample_13,A
sample_14,A
sample_15,A
sample_16,A
sample_17,A
sample_18,A
sample_19,A
sample_20,A
sample_21,A
sample_22,A
sample_23,A
sample_24,A
sample_25,A
sample_26,A
sample_27,A
sample_28,A
sample_29,A
sample_30,A
sample_31,A
sample_32,A
sample_33,A
sample_34,A
sample_35,A
sample_36,A
sample_37,A
sample_38,A
sample_39,B
sample_40,A
sample_41,A
sample_42,A
sample_43,A
sample_44,B
sample_45,A
sample_46,A
sample_47,A
sample_48,A
sample_49,A
sample_50,A
sample_51,A
sample_52,A
sample_53,A
sample_54,A
sample_55,A
sample_56,A
sample_57,A
sample_58,A
sample_59,A
sample_60,A
sample_61,A
sample_62,A
sample_63,A
sample_64,A
sample_65,B
sample_66,B
sample_67,A
sample_68,A
sample_69,A
sample_70,A
sample_71,A
sample_72,A
sample_73,A
sample_74,A
sample_75,A
sample_76,A
sample_77,A
sample_78,A
sample_79,A
sample_80,A
sample_81,B
sample_82,A
sample_83,A
sample_84,B
sample_85,B
sample_86,B
sample_87,B
sample_88,A
sample_89,B
sample_90,A
sample_91,A
sample_92,A
sample_93,A
sample_94,B
sample_95,A
sample_96,A
sample_97,B
sample_98,B
sample_99,B
sample_100,A
sample_101,A
sample_102,B
sample_103,A
sample_104,A
sample_105,A
sample_106,A
sample_107,B
sample_108,B
sample_109,B
sample_110,B
sample_111,A
sample_112,B
sample_113,A
sample_114,A
sample_115,B
sample_116,B
sample_117,B
sample_118,B
sample_119,A
sample_120,B
sample_121,B
sample_122,B
sample_123,A
sample_124,B
sample_125,B
sample_126,B
sample_127,B
sample_128,B
sample_129,B
sample_130,B
sample_131,A
sample_132,B
sample_133,B
sample_134,A
sample_135,B
sample_136,B
sample_137,B
sample_138,B
sample_139,B
sample_140,B
sample_141,B
sample_142,B
sample_143,B
sample_144,B
sample_145,B
sample_146,B
sample_147,B
sample_148,B
sample_149,B
sample_150,A
sample_151,B
sample_152,B
sample_153,A
sample_154,B
sample_155,A
sample_156,A
sample_157,A
sample_158,A
sample_159,A
sample_160,A
sample_161,A
sample_162,A
sample_163,A
sample_164,A
sample_165,A
sample_166,A
sample_167,A
sample_168,A
sample_169,A
sample_170,A
sample_171,A
sample_172,A
sample_173,B
sample_174,B
sample_175,B
sample_176,A
sample_177,B
sample_178,A
sample_179,A
sample_180,A
sample_181,A
sample_182,A
sample_183,A
sample_184,A
sample_185,A
sample_186,A
sample_187,A
sample_188,A
sample_189,A
sample_190,A
sample_191,A
sample_192,A
sample_193,A
sample_194,A
sample_195,A
sample_196,A
sample_197,A
sample_198,A
sample_199,A
sample_200,A
sample_201,A
sample_202,A
sample_203,A
sample_204,B
sample_205,A
sample_206,A
sample_207,A
sample_208,A
sample_209,A
sample_210,A
sample_211,A
sample_212,A
sample_213,A
sample_214,A
sample_215,A
sample_216,A
sample_217,A
sample_218,A
sample_219,A
sample_220,B
sample_221,A
sample_222,A
sample_223,A
sample_224,A
sample_225,A
sample_226,A
sample_227,A
sample_228,A
sample_229,A
sample_230,A
sample_231,A
sample_232,A
sample_233,B
sample_234,A
sample_235,A
sample_236,A
sample_237,A
sample_238,A
sample_239,A
sample_240,A
sample_241,A
sample_242,A
sample_243,A
sample_244,A
sample_245,A
sample_246,A
sample_247,A
sample_248,A
sample_249,A
sample_250,A
sample_251,A
sample_252,A
sample_253,A
sample_254,A
sample_255,A
sample_256,A
